order_id,customer_id,order_date,order_total,currency,status,items_count,discount_code
ORD-100000,SH-20101,2024-05-12T10:43:00Z,466.74,USD,fulfilled,1,SUMMER10
ORD-100001,SH-20314,2025-08-21T04:55:00Z,163.3,USD,fulfilled,4,VIP20
ORD-100002,SH-20292,2025-02-03T05:21:00Z,216.97,USD,fulfilled,6,
ORD-100003,SH-20363,2025-10-21T12:17:00Z,800.61,USD,fulfilled,6,VIP20
ORD-100004,SH-20266,2025-07-06T05:54:00Z,35.44,USD,fulfilled,6,
ORD-100005,SH-20380,2024-04-06T12:06:00Z,99.57,USD,fulfilled,5,
ORD-100006,SH-20013,2025-09-25T02:06:00Z,247.27,USD,fulfilled,1,SUMMER10
ORD-100007,SH-20158,2024-04-24T09:28:00Z,569.44,USD,fulfilled,5,
ORD-100008,SH-20014,2024-11-12T10:55:00Z,436.4,USD,refunded,3,VIP20
ORD-100009,SH-20227,2024-12-18T05:37:00Z,543.86,USD,cancelled,4,VIP20
ORD-100010,SH-20327,2025-06-16T17:14:00Z,727.17,USD,fulfilled,3,
ORD-100011,SH-20211,2025-03-10T00:00:00Z,478.13,USD,fulfilled,3,
ORD-100012,SH-20240,2024-12-16T15:19:00Z,23.08,USD,fulfilled,3,VIP20
ORD-100013,SH-20118,2024-09-12T06:26:00Z,795.71,USD,fulfilled,4,
ORD-100014,SH-20083,2025-07-08T08:05:00Z,388.68,USD,fulfilled,5,VIP20
ORD-100015,SH-30013,2025-05-21T23:34:00Z,730.8,USD,fulfilled,2,
ORD-100016,SH-20093,2024-05-04T20:29:00Z,561.69,USD,fulfilled,6,VIP20
ORD-100017,SH-20251,2024-06-01T04:03:00Z,873.2,USD,fulfilled,2,
ORD-100018,SH-20144,2025-03-23T14:46:00Z,22.26,USD,fulfilled,2,
ORD-100019,SH-20252,2024-06-14T09:50:00Z,722.52,USD,fulfilled,4,
ORD-100020,SH-20169,2024-03-02T08:49:00Z,362.29,USD,refunded,4,
ORD-100021,SH-20098,2025-07-27T00:07:00Z,877.52,USD,fulfilled,4,SUMMER10
ORD-100022,SH-20126,2024-04-15T23:49:00Z,98.15,USD,fulfilled,4,SUMMER10
ORD-100023,SH-20348,2025-06-06T20:46:00Z,52.33,USD,refunded,5,
ORD-100024,SH-20129,2025-11-10T06:23:00Z,800.45,USD,fulfilled,1,
ORD-100025,SH-20324,2025-06-01T05:50:00Z,259.35,USD,fulfilled,4,
ORD-100026,SH-20004,2024-10-26T22:30:00Z,624.24,USD,fulfilled,3,
